0;Grange Blanche;45.742764271419695;4.879406232184285
1;Ambroise Pare;45.74164341892858;4.88382353886578
2;Desgenettes;45.73897028166654;4.893221999214217
3;Essarts - Iris;45.73733788280647;4.898167992657034
4;Boutasse - C. Rousset;45.73505394191973;4.904444361725615
5;Bron Hotel de Ville;45.73356371374095;4.909047032364062
6;Les Alizes;45.73183380098682;4.914722586717687
7;De Tassigny - Curial;45.735825250401845;4.916986371159782
8;Lycee J.P. Sartre;45.73813162396515;4.922179127743138
9;Parc du Chene;45.7391350164812;4.9266101370053255
10;Eurexpo Entree Principale;45.732185778953;4.94803562265396
